,AveExpr,Coef,t,P.value,P.value.adj,F,F.p.value,F.p.value.adj
MACF1,15.9313382950311,-1.42114312116481,-5.26254763981079,5.78139261838201e-05,0.000919867436988425,27.6944076612781,5.78139261838202e-05,0.000919867436988426
TBL1XR1,15.4459104500695,0.728521773779377,1.51094173672318,0.148766636323494,0.30348636793474,2.28294493177207,0.148766636323494,0.30348636793474
IPO5,17.212592829709,0.412632646736178,1.85102668001174,0.0811194460699028,0.197597636550577,3.42629977011527,0.0811194460699028,0.197597636550577
DDX54,14.9365916915952,-0.0450402546318305,-0.253576189980651,0.802778228138484,0.906588383167025,0.0643008841251033,0.802778228138484,0.906588383167025
DNAJC21,13.3010067242692,0.551312190636668,2.32853256014724,0.0320977682570087,0.102262002405244,5.42206388366585,0.0320977682570088,0.102262002405244
FAM83H,14.1502229148971,2.03690518372051,6.55284377366239,4.36035253806922e-06,0.000151280008890235,42.939761522026,4.36035253806922e-06,0.000151280008890235
POGLUT1,15.0065658373285,0.351464227830032,0.881659881121438,0.38998828685218,0.572548187221125,0.777324145979069,0.38998828685218,0.572548187221125
PLEC,19.71170329206,0.349367003290833,1.59362670427522,0.128920912036544,0.273847311451774,2.53964607257909,0.128920912036544,0.273847311451774
NUP85,15.2689939582859,0.425156154075895,1.0268557787993,0.318564948337624,0.503655215789484,1.05443279045351,0.318564948337624,0.503655215789484
CARS1,16.9220601792173,-1.46374734058326,-5.04692581761323,9.25994125338324e-05,0.00126056311994285,25.471460208491,9.25994125338324e-05,0.00126056311994285
LEMD2,15.0807117970153,-0.916922988577602,-2.53499895695661,0.0211113826696785,0.0754992611436748,6.4262197117711,0.0211113826696785,0.0754992611436748
PLXNB2,14.8170728278266,1.29282082704983,5.78266533665476,1.97026469450384e-05,0.000431729930427244,33.4392183957485,1.97026469450384e-05,0.000431729930427245
PSMB7,17.6983177093287,0.733103894994802,1.97619452052094,0.0642212760360538,0.167720593348732,3.905344782937,0.0642212760360538,0.167720593348732
HSDL2,15.8376015967499,0.380182713619003,1.95491026241737,0.0667594369579157,0.172280987795536,3.82167413410476,0.0667594369579157,0.172280987795536
IMP4,14.8617963645063,-0.364810005244864,-1.12851358118767,0.274419683518476,0.455277859346512,1.27354290292502,0.274419683518476,0.455277859346512
KAT7,12.3749360953632,1.63175763002342,3.15827849872795,0.00561905974367659,0.0286749974253404,9.97472307552729,0.00561905974367659,0.0286749974253404
VPS35L,15.2922703554738,-0.0353393887456335,-0.0868755038961102,0.931763286291216,0.979194231870197,0.00754735317720305,0.931763286291216,0.979194231870197
TRA2A,15.1810988381633,0.537511528605476,0.642951550868645,0.528645449467243,0.702026394910194,0.413386696764396,0.528645449467243,0.702026394910194
IFI16,16.7020357958729,-0.0210636879301909,-0.109451850174074,0.914089468205403,0.97280574127826,0.0119797075065279,0.914089468205403,0.97280574127826
SLIRP,17.381901703576,-0.0790118400238349,-0.178878900915335,0.860100941997323,0.941719111597332,0.0319976611926783,0.860100941997323,0.941719111597332
PSIP1,14.6089794570759,1.36733356708527,4.54320255114393,0.000270039949036997,0.00289980656186211,20.6406894207207,0.000270039949036997,0.00289980656186212
GEMIN5,15.5807642466012,0.256817705842408,0.884372553370361,0.388500302305819,0.571034866231206,0.782114813154812,0.388500302305819,0.571034866231206
ECPAS,15.6016714868244,0.684985463837323,3.14451006382052,0.00575364303073193,0.0291238101130058,9.8879435414685,0.00575364303073193,0.0291238101130058
DNAJC13,14.9228922080443,0.375083682603915,1.30958615097669,0.207269625045159,0.377293661656531,1.71501588682994,0.207269625045159,0.377293661656531
WRNIP1,14.756120474712,0.122913651255368,0.440908153209897,0.664678206855819,0.808751174245414,0.194399999566962,0.664678206855819,0.808751174245414
ORC3,14.9551837240244,0.0936897417128186,0.102250514084952,0.919728008762526,0.974686356251571,0.010455167630637,0.919728008762526,0.974686356251571
MTX2,14.7837998500718,-0.264331080579003,-1.21089820123604,0.24203501917057,0.417932135328642,1.46627445375667,0.24203501917057,0.417932135328642
FBL,17.8218156853601,0.0682750978365583,0.174006844803404,0.863870298642381,0.944397376809045,0.0302783820384359,0.863870298642381,0.944397376809045
AK4,14.2835814804876,2.85473180129359,6.75028235931056,3.02003055811085e-06,0.000119746608478745,45.5663119304194,3.02003055811086e-06,0.000119746608478745
UFSP2,14.1196219033891,0.304547762646031,0.949658560946877,0.355287792672021,0.540011503556258,0.901851382379694,0.355287792672021,0.540011503556258
PDCD6IP,17.3606821253689,0.666663119211062,2.93329904002226,0.00907618961758872,0.0412599120377372,8.60424325819551,0.00907618961758872,0.0412599120377372
SMU1,15.6635332079694,0.0959169322010975,0.378110848807263,0.709895755806277,0.844437903811466,0.142967813985749,0.709895755806277,0.844437903811466
FLNC,14.4687852024463,-2.0229990122849,-2.47759390398858,0.0237625061434873,0.0824426949255991,6.13847155308137,0.0237625061434873,0.0824426949255991
CC2D1B,13.6674526788939,-1.47472898987443,-6.11780531740315,1.00252693437581e-05,0.000263711340485576,37.4275419016463,1.00252693437581e-05,0.000263711340485576
RAN,20.8366076701013,0.255800742273681,0.667350652335233,0.513309965305027,0.689010367185362,0.445356893172261,0.513309965305027,0.689010367185362
COL18A1,16.2913503078595,-0.00124432763678328,-0.00349462582829953,0.997251486646802,0.998972880355757,1.22124096798182e-05,0.997251486646802,0.998972880355757
CBL,14.6482615471583,-1.40318615634781,-6.66944335162242,3.40588022148755e-06,0.000128743121631816,44.4814746205005,3.40588022148755e-06,0.000128743121631816
PITRM1,15.6316655158309,-0.361965571622594,-0.916177646615079,0.372108515750496,0.557604722462351,0.839381480157145,0.372108515750496,0.557604722462351
BASP1,16.4935621199584,-1.84328294944956,-5.38013998702483,4.62161191388143e-05,0.000785359629991552,28.9459062799835,4.62161191388143e-05,0.000785359629991552
DNAJC16,13.2616640395163,-0.431997838600513,-1.09309308139141,0.28926914879765,0.472592762391451,1.19485248458577,0.28926914879765,0.472592762391451
EPRS1,17.4832132651014,-0.65867394477327,-3.19945518430324,0.00510617405424078,0.0267966865283476,10.2365134763649,0.00510617405424078,0.0267966865283476
SMC3,15.9688842206172,1.01430258349857,6.00581217408703,1.25441992915199e-05,0.000307209900296243,36.0697798704119,1.25441992915199e-05,0.000307209900296243
PRRC2C,14.712876774733,0.0793415822784347,0.298740333531376,0.768656681435012,0.883787461897714,0.0892457868784376,0.768656681435012,0.883787461897714
LNPK,14.6614244412942,-1.1325736826563,-2.67683242380343,0.0157117481277762,0.060755335639605,7.16543182512533,0.0157117481277762,0.060755335639605
IGFBP6,12.5053217058886,0.0277661616241698,0.0948884199860445,0.925482954409905,0.978143024709783,0.00900381224744796,0.925482954409905,0.978143024709783
MKI67,16.162883084824,0.0733712265151212,0.335079474771716,0.741548358691214,0.866208931499019,0.112278254413289,0.741548358691214,0.866208931499019
HSD17B12,17.3396231235005,0.44033003006049,1.34387070868947,0.196267954428514,0.364112402645694,1.80598848167353,0.196267954428514,0.364112402645694
RNH1,18.5759811755142,-1.16166929213319,-6.16780109579185,9.07551046106417e-06,0.00024641983838846,38.0417703572511,9.07551046106417e-06,0.00024641983838846
CAT,17.2110262518938,-1.31541556251113,-5.49010391574566,3.5954201255848e-05,0.000653189779906243,30.1412410056859,3.5954201255848e-05,0.000653189779906243
PIGO,11.6996885254621,-1.01959245496715,-2.77601675969875,0.0127491905623238,0.0522947094001392,7.70626905012834,0.0127491905623238,0.0522947094001392
NUP214,16.2510256508416,0.377657097001485,1.21003347285579,0.242462904843505,0.418426484489862,1.46418100543146,0.242462904843505,0.418426484489862
ACTN1,18.6552947769745,0.661418248966292,2.7254991388478,0.0141251487125843,0.0562753133716678,7.4283455558601,0.0141251487125843,0.0562753133716678
NCEH1,16.7098075072788,-0.989576636449435,-2.14746961623606,0.0461324656513808,0.134248926713713,4.61162575265707,0.0461324656513808,0.134248926713713
ADSL,16.8311940567335,-0.541517250206756,-1.87895523268384,0.0770963370911762,0.191460793676422,3.53047276642998,0.0770963370911762,0.191460793676422
PSMB9,14.1389299239314,-0.594941840850238,-1.76200917135192,0.095641383318235,0.221522647685629,3.10467631992827,0.095641383318235,0.221522647685629
TCP1,19.3870441130519,0.323820387209778,1.63677767419661,0.119533504854446,0.260326674042202,2.67904115474845,0.119533504854446,0.260326674042202
DIAPH1,16.1474996867633,0.569730073030604,2.2808623581051,0.0353282713996924,0.109968874712064,5.20233309662075,0.0353282713996924,0.109968874712064
GALM,13.789550779945,-1.26517897631272,-4.10378100224222,0.0007072264117063,0.00614487504849508,16.8410185143641,0.000707226411706301,0.0061448750484951
KIFC1,14.4545143761574,-0.000301376769648698,-0.00156002656986979,0.998772925816054,0.998972880355757,2.4336828986997e-06,0.998772925816054,0.998972880355757
MYOF,18.0359784184659,-0.356185318181556,-2.26102056289274,0.0367597742126572,0.113149559275336,5.11221398582379,0.0367597742126572,0.113149559275336
ATP5PO,17.7424319707211,-0.122631860326766,-0.686257635844902,0.501543060825036,0.678502337363087,0.470949542755434,0.501543060825036,0.678502337363087
DSP,15.5518897317327,4.98526470159447,18.2841766291977,7.59946299648216e-13,1.2655639043475e-09,334.311115007698,7.59946299648216e-13,1.2655639043475e-09
CSDE1,16.4526752891168,0.131125958974486,0.682131497684676,0.504085406066563,0.68138817335188,0.46530338013354,0.504085406066563,0.68138817335188
TIPRL,15.40108898822,-0.782881728928196,-2.31908419867688,0.0328017381204527,0.10385138380848,5.37815152055279,0.0328017381204527,0.10385138380848
HERC4,15.7791231630967,-0.882746788671133,-2.11932685558056,0.048743125154104,0.139234221423615,4.49154632078497,0.0487431251541039,0.139234221423615
HP1BP3,16.2474086908865,-0.588350005607806,-2.4329808962302,0.0259579100420537,0.0879225210644747,5.9193960414211,0.0259579100420537,0.0879225210644747
RPS19,19.5826093081444,-0.400733475498061,-0.839718278504725,0.41246587876877,0.593855772429041,0.705126787254939,0.41246587876877,0.593855772429041
ABCB7,14.8992523719785,0.37021575546482,1.36304923791709,0.190149671963027,0.357541498354265,1.85790322498637,0.190149671963027,0.357541498354265
MINPP1,14.4903491499869,-0.381303767000214,-1.33300864333202,0.199624776900307,0.36828854704355,1.77691204319787,0.199624776900307,0.36828854704355
CDC123,14.1728656854969,0.619117443143974,1.70696013693236,0.105626714367026,0.237386893827108,2.91371290907614,0.105626714367026,0.237386893827108
KMT2A,13.2899315973047,-0.568577456141677,-2.09785138266695,0.0507247192099098,0.143337498400854,4.40098042375764,0.0507247192099098,0.143337498400854
PEPD,16.6463963579047,-0.396286430699519,-2.24081304036874,0.0382726789805265,0.116976055697348,5.02124308188662,0.0382726789805265,0.116976055697348
LMAN1,16.8675315480837,0.335768325791467,1.53016678715466,0.143851650394556,0.296119837400577,2.34141039651122,0.143851650394556,0.296119837400577
ARHGEF18,14.0543345485519,-0.166537987770315,-0.48496720062991,0.633754129009988,0.78586141189722,0.235193185686811,0.633754129009988,0.78586141189722
PPA1,18.3531199919775,-0.726094511930384,-2.06269940610438,0.0544086904290928,0.15049786241584,4.25472883994336,0.0544086904290928,0.15049786241584
DDB1,17.2743022489463,0.813160120119687,6.07852783805297,1.08431420877498e-05,0.00027359766601211,36.9485006779849,1.08431420877498e-05,0.00027359766601211
PA2G4,19.0953245615672,-0.095499674481843,-0.500409681729038,0.623021461260137,0.775555317560936,0.250409849568157,0.623021461260137,0.775555317560936
VAPB,16.3796533498098,0.468017209633022,1.37239033380497,0.187390640421446,0.354488314860109,1.88345522832131,0.187390640421446,0.354488314860109
SURF4,15.9924955104304,-1.48249507096665,-2.60345390541671,0.0183158714137836,0.0676008715014952,6.77797223762952,0.0183158714137836,0.0676008715014952
SNX6,16.0696578721556,0.129580741249484,0.80953566414083,0.429077917824625,0.610037927561703,0.655347991515935,0.429077917824625,0.610037927561703
TXNL1,16.3186099176547,-1.18764989543826,-4.48384431588138,0.0003059704638069,0.00320665111735071,20.1048598490618,0.0003059704638069,0.00320665111735071
CYFIP1,16.310350093127,-0.358477190524241,-1.08942289333514,0.290839087352286,0.47422718029113,1.18684224052272,0.290839087352286,0.47422718029113
RHOT1,13.9720911559995,-0.881757472882434,-2.16765534444352,0.0443394518067448,0.130767356095925,4.69872969229455,0.0443394518067448,0.130767356095925
VPS11,14.1023608482615,-0.740319515223401,-2.29262580727304,0.0345773079107253,0.108170463570434,5.25613309217437,0.0345773079107253,0.108170463570434
ADD1,14.3371552114882,1.14264209273006,5.16884350901212,7.04244788339359e-05,0.00104403767434523,26.7169432206567,7.04244788339359e-05,0.00104403767434523
SPAG9,15.9724896345735,0.123479837490134,0.520765666412724,0.609057075178001,0.766460742465817,0.271196879314288,0.609057075178001,0.766460742465817
TEX10,14.6939970606843,1.00928065006013,3.48399183844999,0.00274380508647431,0.0168610703714953,12.1381991303861,0.00274380508647431,0.0168610703714953
VDAC3,17.9823880822539,0.984020352306665,1.978760899695,0.0639086283578203,0.167166234175744,3.91549469816178,0.0639086283578203,0.167166234175744
MIDEAS,12.9670564728493,1.10823928697732,3.94889947266179,0.000986444516136192,0.00778558736590271,15.5938070451886,0.000986444516136192,0.00778558736590271
TARDBP,16.4247679296242,0.496487368779253,1.00742530834557,0.327547617579095,0.51241695817785,1.01490575189516,0.327547617579095,0.51241695817785
HDLBP,17.138792870345,-0.0372429737613089,-0.251687340006866,0.804214749706081,0.907529951231709,0.0633465171197319,0.804214749706081,0.907529951231709
MCM2,17.0279898692882,0.0279168589806389,0.108587475917742,0.914765105176511,0.972946466085078,0.0117912399261863,0.914765105176511,0.972946466085078
KDM2A,14.0020532745486,-0.44008817538529,-0.856384503661012,0.403435509422274,0.584899537165898,0.733394418110718,0.403435509422274,0.584899537165898
ADAR,15.7256330149129,0.273727240993434,0.996318596616795,0.332673553364674,0.517607310062258,0.99265074596446,0.332673553364674,0.517607310062258
TDRKH,12.5820982632206,-1.19877878547748,-3.33810907549605,0.00380095502474158,0.0214329247219062,11.1429721999091,0.00380095502474158,0.0214329247219062
STMN1,18.073409547006,-0.110297128828527,-0.192688805583327,0.849435790136271,0.934372768286949,0.0371289757971291,0.849435790136271,0.934372768286949
SPR,16.317224617141,-0.228318552040694,-0.957915218122855,0.351153880374292,0.536011239336989,0.917601565111357,0.351153880374292,0.536011239336989
GBE1,15.6581192045433,0.092076127842212,0.22880275267892,0.821692154428594,0.9183209445637,0.0523506996334511,0.821692154428594,0.9183209445637
THOC2,15.3267059011818,-1.24510862096865,-3.96235073995994,0.000965818749718189,0.00767127261302396,15.7002233864611,0.000965818749718189,0.00767127261302396
CLASP2,14.7620019884087,-0.206330956952385,-0.358931579307367,0.723968480887657,0.854262288737537,0.12883187862408,0.723968480887657,0.854262288737537
ATP2B4,14.8944728238434,-1.64703803983119,-2.916901479474,0.00944812821824373,0.0422585931766747,8.5083142409576,0.00944812821824373,0.0422585931766747
EDEM3,12.2321001365246,0.653171577921524,1.44494804994635,0.166256669459936,0.32650091219412,2.08787486704376,0.166256669459936,0.32650091219412
CYB5R2,15.3881880067869,-0.00896215888024443,-0.0499370644194706,0.960738106110258,0.98782621488513,0.00249371040283436,0.960738106110258,0.98782621488513
MAGED2,14.7302548074594,-2.45701545636909,-5.20623521697075,6.64542198513644e-05,0.00100319572858425,27.1048851344264,6.64542198513644e-05,0.00100319572858425
PTGES2,15.9279273666544,1.67709368414573,4.46132859613268,0.000326111519878908,0.00335237274344655,19.9034528426712,0.000326111519878908,0.00335237274344655
LUC7L2,16.3846049304899,-0.129077789294055,-0.56312248883149,0.580495760720222,0.744584549565655,0.317106937427771,0.580495760720222,0.744584549565655
CSTF3,16.0800624546269,0.683541772234722,2.37488762528111,0.0292529509678919,0.0954590091675949,5.64009123271335,0.0292529509678919,0.0954590091675949
MCRIP1,15.8551441540285,0.125524345210209,0.196857750530111,0.846221968681931,0.931870266780143,0.0387529739437756,0.846221968681931,0.931870266780143
SEPTIN8,14.3226762010203,1.53897200520859,4.8744548785344,0.000133509709119574,0.0016801372966282,23.7603103628678,0.000133509709119574,0.0016801372966282
INTS6,12.4244323271323,0.329258707153819,1.35366881807047,0.193068946305385,0.361294698201768,1.83241926901631,0.193068946305385,0.361294698201768
SCARB2,15.7263338836908,1.06842896215984,3.38535693433537,0.00342756834036251,0.0199186716944319,11.4606415728526,0.00342756834036251,0.0199186716944319
TCOF1,16.1701974702539,0.244971901295507,1.03853108265213,0.313160660338881,0.497472387616232,1.0785468096346,0.313160660338881,0.497472387616232
KDM1A,14.998650430174,-0.277401586049269,-0.896601751502759,0.382149096275199,0.565967123172463,0.803894700797815,0.382149096275199,0.565967123172463
