"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"ACAD9",16.7486910577864,15.5440238056468,16.9429560214234,16.3619674349821,16.5505133543231,16.3884704009829,16.8407641469291,16.4864888585217,16.7007887283869,16.129826267235,16.256944495097,16.5179529814067,16.1547823863415,16.8478617811766,16.5750277975974,16.4289833113483
"CCT7",19.2696672265069,19.1089453187441,19.2481098148487,19.3392810258514,19.4550751493838,19.2369802894939,18.5945404953389,20.0800734813643,19.1375273754094,19.0377534701524,19.6272374452995,19.1502447266725,19.2175261267369,19.0647363479171,18.4939508768243,19.0638531422535
"MRPS27",16.1863126119223,15.989724391805,16.4119652909803,16.3338859428374,16.1327408574243,16.0760836276119,16.4874485477571,15.9035920180351,15.7762847723014,16.289027966887,15.9219806429025,15.3957516121602,15.9646879156933,16.9248840693093,16.2326685802683,16.6621852299534
"WBP11",15.0414938963846,14.7971472332041,15.0588480209254,15.1769521352117,13.8991086781748,14.7445379825001,13.9935135943756,15.3896304410477,15.2725361193665,14.417177774998,14.2989331489816,14.9029679519217,15.0199433037251,14.8893466613469,14.9600818740143,14.8440260632541
"GGCX",13.5220870447537,13.4393225254539,12.8720196197219,12.554540945157,14.1535468761333,13.4479017506472,13.6132202378682,13.6098098428885,13.6064950835871,14.5922604880508,13.6344711310985,14.5489315349505,14.1803620123482,13.677405277924,13.6229449867551,13.6102604338109
"DHX29",15.2173393113402,14.8737844959489,14.8452586000845,14.5956854246439,14.6380016940922,15.0819669605535,14.1902269737145,14.7009963995032,15.0735560397728,14.6867494871999,14.5891740777211,14.3006130387757,14.5418256103291,14.8345224703074,14.6772689873849,14.4281211926342
"ITGAV",15.0262492635428,15.7912478298766,14.6484192081998,15.450796662897,15.5459379617388,15.9343416316918,14.3970989145916,15.4111754579027,15.5289068347782,16.0317367890246,16.007074289345,16.3923908776572,15.5849132243489,14.7897316234512,14.2241781734522,15.5995295980543
"DYNC1H1",17.1711761601313,17.9236808712454,17.018476003786,17.8257038543659,17.9342310562588,17.5442854594708,16.9586420280438,17.6824439930902,16.9911497573617,17.9953946303703,18.118809490745,17.6071780529862,17.7084444871234,16.8858879763722,17.0306497484561,16.9594302039484
"HDAC3",12.7365307665678,12.0241365706248,11.6446070437672,10.6325044099056,13.2934572908751,12.4859269510678,11.6811876157073,11.8230869512472,11.7566593680578,10.3266321502789,11.9558471134844,10.7600302128916,12.0853460385409,12.0432405092058,11.5868336826966,11.8046205660934
"TPBG",13.3336575062877,12.2119414001347,13.8709999560622,14.1370371001128,12.9901533423035,13.8174271719933,14.9710554763395,15.1528987589913,14.1234656318768,13.9063961981983,14.7082299305212,13.9181459144168,13.8489089645887,13.6255658828799,13.9799147353825,14.6337183223726
"NAA40",13.7564150381929,13.6147329159818,13.9028601654312,14.0204004951133,14.3326244017584,12.030232809815,14.3492429616272,15.1469517129432,13.7110537832093,13.2461638448331,14.6089153210792,13.3712011372858,11.9748183667106,14.7204585579532,12.5682441093378,11.7588536377741
"NUMA1",16.4784990182152,15.6500180601441,16.6637490427765,15.8363110784535,16.205877171474,15.6401520185154,16.639543510327,15.4766885091281,16.4397255793931,16.6068174925774,15.7174741386126,15.6282232863799,15.6996852102741,16.4267453538185,16.4694634081626,15.6693102461605
"NSFL1C",17.3016242481589,17.4742870952844,16.3404688310411,17.2073640731287,16.6521501924487,16.9751014954498,17.1850060530637,17.3032438197886,17.0539495632911,16.6940143296935,17.202851680281,16.8849407701909,16.3453238763402,17.1516021664608,17.1033531373458,17.5001417234074
"TOLLIP",15.0178282317135,16.9560223311249,13.9252318847567,15.4819103758078,17.1767864471147,16.0884615744014,14.7285924896498,15.2373828074615,14.6960872102989,14.6250256115703,15.4314011508922,15.5631247759929,14.7430859479813,14.4710783473457,13.7739123371296,12.7690935549949
"HSP90B1",18.9307162896983,19.3140274944402,19.6589509003306,19.4788187337324,19.9093036787973,20.0082058036113,20.0522834677467,20.5210668477897,19.9755648950016,19.2866399088161,19.9876711447267,19.9415140766098,19.7931612120471,19.3624605092725,18.8680529084743,19.7351635870805
"LRBA",13.59857733309,13.9945215135713,13.8224601259032,15.5587260008801,13.6200238849591,13.7553004276725,13.5886247583207,15.2129872127603,13.9550211939602,15.5482250866268,13.9079791466799,15.8689985959178,15.2177638220855,14.5795527722799,13.3199479378263,14.3076137507818
"MAP1B",13.5024377562562,15.723858318505,12.3027584171542,15.2612551098136,15.9394663995949,15.4180202030089,13.2271157971386,13.2108163183493,12.582393292547,15.6439951966715,15.6089933780018,15.4289470101555,15.5573523316535,13.2837436813137,8.5193231916716,13.3034350092612
"TPP1",14.1038923875633,17.6490483655751,14.6875176594411,17.5043474167824,15.1931195214936,16.4961366706699,15.1583641176647,15.257305077093,15.245149048382,17.7720861761724,17.906596274957,17.6030474569223,18.1065881765828,14.4734718674355,13.728328456568,15.2366818802918
